250 Year 2016; Global_Sales_Bethesda 22.199838839645448; Average_Critic_Score_Bethesda 9.015000000360601; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 0; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
