250 Year 2016; Global_Sales_Capcom 14.10057024364956; Average_Critic_Score_Capcom 7.317193676136363; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 0; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
