250 p1 2; p2 50.0; p3 0.37184594953519257; 
250 p1 1; p2 54.395604395604394; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 58.79120879120879; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 52.1978021978022; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 1.1155378486055776; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 1.540504648074369; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 62.08791208791209; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.5843293492695882; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 64.28571428571428; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 1.1155378486055776; 
250 p1 1; p2 57.69230769230769; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.37184594953519257; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 2.6560424966799467; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 55.494505494505496; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 51.0989010989011; p3 0.5843293492695882; 
250 p1 1; p2 51.0989010989011; p3 0.2656042496679947; 
250 p1 1; p2 66.48351648351648; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 51.0989010989011; p3 0.05312084993359893; 
250 p1 1; p2 64.28571428571428; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.903054448871182; 
250 p1 1; p2 51.0989010989011; p3 0.5843293492695882; 
250 p1 1; p2 53.2967032967033; p3 0.5312084993359893; 
